Australian Ocean Data Network parameter register,This register contains controlled vocabulary for parameters that will ultimately be available in MCP metadata. The controlled vocabulary will be used by the faceted search on the AODN/IMOS portal.,English,eng,AU,utf8,1.0,10/12/2012,20/04/2013
Australian Ocean Data Network instrument register,This register contains controlled vocabulary for instruments that will ultimately be available in MCP metadata. The controlled vocabulary will be used by the faceted search on the AODN/IMOS portal.,English,eng,AU,utf8,1.0,10/12/2012,20/04/2013
